origin_location_code,origin_has_hrp,origin_in_gho,asylum_location_code,asylum_has_hrp,asylum_in_gho,population_group,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
IRQ,False,False,KEN,False,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
IRQ,False,False,KEN,False,True,REF,m,all,None,None,0,2020-01-01,2020-12-31
IRQ,False,False,KEN,False,True,REF,all,all,None,None,5,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,ASY,f,18-59,18,59,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,ASY,f,all,None,None,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,ASY,m,18-59,18,59,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,ASY,m,all,None,None,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,ASY,all,all,None,None,292,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,REF,f,60+,60,None,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,REF,f,all,None,None,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,REF,m,60+,60,None,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,REF,m,all,None,None,0,2020-01-01,2020-12-31
KEN,False,True,AUS,False,False,REF,all,all,None,None,101,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,ASY,f,18-59,18,59,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,ASY,f,all,None,None,6,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,ASY,m,18-59,18,59,0,2020-01-01,2020-12-31
KEN,False,True,AUT,False,False,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
